,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
76,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 9,2002-08-07,L,2,,6,H,706,537,6180000,2020-09-24,2009-04-29,2098000,194.57,22.352237,114.0613061
77,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 27,2006-06-28,L,2,2,6,G,676,499,6080000,2020-09-23,2017-01-11,4868000,24.900000000000002,22.3534505,114.061128
78,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 12,2002-08-07,L,2,,6,F,694,531,5750000,2020-09-23,2011-03-17,3150000,82.54,22.3512462,114.0609784
79,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 5,2002-08-07,H,2,,18,D,759,594,8080000,2020-09-23,2012-07-27,3900000,107.18,22.353337999999997,114.062645
80,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 17,2002-08-07,M,1,,15,I,488,360,5300000,2020-09-23,2009-05-11,1780000,197.75,22.350234,114.0599035
81,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 27,2006-06-28,L,2,2,11,H,665,507,6050000,2020-09-22,2014-03-05,4100000,47.56,22.3534505,114.061128
82,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 7,2002-08-07,M,2,,9,G,694,531,6080000,2020-09-18,2010-02-02,2650000,129.43,22.352816,114.0618075
83,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 23,2004-11-12,H,2,,26,H,663,490,6260000,2020-09-17,2007-08-03,2280000,174.56,22.3527971,114.060294
84,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 11,2002-08-07,H,2,,17,E,706,537,6280000,2020-09-17,2009-01-16,2080000,201.92000000000002,22.3515764,114.0610726
85,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 16,2002-08-07,L,3,,1,E,993,774,8200000,2020-09-16,2010-03-02,3360000,144.05,22.3504459,114.0603924
86,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 22,2004-11-12,M,3,,18,B,985,762,9000000,2020-09-15,2016-06-07,7000000,28.57,22.3524715,114.0601535
87,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 22,2004-11-12,M,2,,22,D,707,549,6500000,2020-09-15,2015-06-30,5600000,16.07,22.3524715,114.0601535
88,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 6,2002-08-07,L,2,,1,G,694,531,5600000,2020-09-15,2007-07-11,1720000,225.58,22.353023,114.0621146
89,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 17,2002-08-07,M,,,11,K,498,378,4990000,2020-09-15,2009-07-13,1835000,171.93,22.350234,114.0599035
90,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 16,2002-08-07,L,2,,3,C,681,520,6000000,2020-09-15,2010-08-25,2768000,116.76,22.3504459,114.0603924
91,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 27,2006-06-28,L,2,2,10,F,736,574,6828668,2020-09-11,2009-05-27,2720000,151.05,22.3534505,114.061128
92,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 2,2002-08-07,M,2,,13,G,694,531,6340000,2020-09-09,2014-04-16,4250000,49.18,22.353865,114.062104
