,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
144,FLAT 6 8/F OI YAN HOUSE (BLOCK E) STAGE 1&2 TSZ OI COURT,23,4/11/2020,8.8,554,694,15884,12680,-,
145,FLAT E 13/F BLOCK 3 (BLOCK C) TROPICANA GARDENS ,35,4/11/2020,5.33,333,529,16006,10076,1099,18
146,FLAT 6 18/F KING TAI COURT  ,0,4/11/2020,2.33,-,-,-,-,-,
147,FLAT A 14/F BLOCK 6 TSUI CHUK GARDEN ,31,4/11/2020,4.85,431,480,11253,10104,-,
148,FLAT E 21/F TOWER 4 GRAND VIEW GARDEN ,21,4/11/2020,4.65,424,496,10967,9375,-,
149,FLAT H 29/F BLOCK 3 PHASE 1 KINGSFORD TERRACE,17,4/11/2020,7,592,694,11824,10086,-,
150,FLAT B 23/F TOWER 5A LIONS RISE ,8,4/11/2020,9.18,570,738,16105,12439,3446,29
151,FLAT A 23/F OXFORD HEIGHTS  ,15,4/11/2020,9.08,541,750,16784,12107,5660,203
152,NO. 1A 4/F 1A NGA TSIN LONG ROAD  ,62,4/11/2020,10.38,667,-,15562,-,-,
153,FLAT 4 9/F MUI YUEN HOUSE (BLOCK 14) CHUK YUEN NORTH ESTATE ,33,3/11/2020,2.8,489,631,5726,4437,-,
154,NO. 32 (FLAT A) 4/F WING CHEONG BUILDING  ,45,3/11/2020,3.32,265,-,12528,-,1690,79
155,FLAT C 7/F KAI KING MANSION   (with roof),31,3/11/2020,4.88,368,483,13261,10104,3952,205
156,FLAT B 22/F PETER'S HOUSE   (with roof),37,3/11/2020,5.08,353,448,14391,11339,-,
157,FLAT C 30/F GENIUS COURT  ,18,3/11/2020,6.5,316,493,20570,13185,4081,157
158,FLAT G 6/F BLOCK 2 KAI TAK GARDEN ,22,3/11/2020,4.8,495,616,9697,7792,-,
159,FLAT C 27/F LE BILLIONNAIRE  ,14,3/11/2020,13,815,1078,15951,12059,534,-9
160,FLAT 4 26/F CHUN ON HOUSE (BLOCK D) TIN MA COURT ,34,3/11/2020,5,363,495,13774,10101,-,
161,FLAT 18 7/F ON TUNG HOUSE TUNG TAU (II) ESTATE ,32,3/11/2020,4.5,439,615,10251,7317,-,
162,FLAT 8 13/F KA YING HOUSE (BLOCK B) KA KEUNG COURT ,20,2/11/2020,4.9,407,503,12039,9742,-,
163,FLAT D 15/F TOWER 2 ARIA KOWLOON PEAK ,10,2/11/2020,7.85,497,642,15795,12227,3859,75
164,FLAT E 6/F BLOCK 10 TSUI CHUK GARDEN ,31,2/11/2020,5.59,484,540,11545,10348,-,
165,FLAT 3 19/F FU HONG HOUSE (BLOCK C) FU KEUNG COURT ,27,2/11/2020,6.8,401,514,16958,13230,-,
166,FLAT 8 26/F OI KAN HOUSE (BLOCK C) STAGE 1&2 TSZ OI COURT,23,2/11/2020,6.23,401,503,15531,12382,-,
167,FLAT 4 19/F LUNG KEI HOUSE (BLOCK D) LUNG POON COURT ,33,2/11/2020,6.2,383,520,16188,11923,-,
168,FLAT C 33/F TOWER 2 ARIA KOWLOON PEAK ,10,2/11/2020,10.13,761,982,13309,10314,3837,30
169,FLAT K 25/F TOWER 4 GRAND VIEW GARDEN ,21,30/10/2020,4.87,424,497,11486,9799,-,
170,FLAT 1 27/F CHUN FEI HOUSE (BLOCK C) TIN MA COURT ,34,30/10/2020,5.1,363,495,14050,10303,-,
171,FLAT 10 10/F PO SING COURT  ,53,30/10/2020,3.7,245,-,15102,-,860,9
172,FLAT 8 2/F FUNG HEI HOUSE (BLOCK A) FUNG LAI COURT ,23,30/10/2020,5.68,407,511,13956,11115,-,
173,FLAT G 40/F BLOCK 1 BEL AIR HEIGHTS ,21,30/10/2020,9.6,581,751,16523,12783,-,
174,FLAT E 31/F BLOCK 1 BEL AIR HEIGHTS ,21,29/10/2020,9.95,656,834,15168,11930,-,
175,FLAT B 1/F BLOCK 3 TSUI CHUK GARDEN ,31,28/10/2020,5.07,493,550,10280,9215,-,
176,FLAT 4 17/F CHUN SING HOUSE (BLOCK A) TIN MA COURT ,34,28/10/2020,4.2,338,462,12426,9091,-,
177,FLAT B 16/F MAN PO BUILDING  ,45,28/10/2020,3.6,250,400,14400,9000,1294,19
178,FLAT 13 19/F LUNG BIK HOUSE (BLOCK F) LUNG POON COURT ,33,28/10/2020,5.85,383,520,15274,11250,-,
179,FLAT A 17/F FUNG PO MANSION  ,44,28/10/2020,3.75,267,400,14045,9375,2164,42
180,NO. 76 5/F 76 TAK KU LING ROAD   (with roof),53,28/10/2020,6.36,612,-,10392,-,6786,762
181,FLAT 13 (NO. 45 REAR) 3/F KAI SAN MANSION  ,58,28/10/2020,2.41,388,-,6211,-,-,
182,FLAT 11 21/F CHU FUNG HOUSE (BLOCK 1) FUNG TAK ESTATE ,29,27/10/2020,2.82,443,579,6366,4870,-,
183,FLAT 12 15/F TAI TUNG HOUSE TUNG TAU (II) ESTATE ,35,27/10/2020,2.85,423,549,6738,5191,-,
184,FLAT B 26/F TOWER 3B LIONS RISE ,8,27/10/2020,11.69,715,934,16347,12514,3446,12
185,FLAT B 5/F FUK HAU MANSION  ,32,27/10/2020,3.38,243,312,13909,10833,5084,493
186,FLAT C 10/F BLOCK 1 BEL AIR HEIGHTS ,21,27/10/2020,7.68,454,577,16916,13310,-,
187,FLAT A 2/F FAT TAT BUILDING  ,47,23/10/2020,3,318,-,9434,-,4513,253
188,FLAT 8 30/F LUNG CHEUNG HOUSE (BLOCK E) LUNG POON COURT ,33,23/10/2020,5.88,383,520,15352,11308,-,
189,FLAT E 8/F TOWER 3 ARIA KOWLOON PEAK ,10,23/10/2020,10,749,968,13350,10330,1981,16
190,FLAT A3 13/F SAN PO KONG MANSION  ,53,23/10/2020,5,487,-,10267,-,-,
191,FLAT B 32/F TOWER 6A LIONS RISE ,8,23/10/2020,10.2,567,736,17989,13859,1860,24
192,FLAT A 18/F MING FUNG COURT  ,25,23/10/2020,4.8,300,447,16000,10738,4737,300
