,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
599,FLAT D 7/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,23/5/2019,7,412,-,16990,-,-,-
600,FLAT B 16/F WOODBURY COURT PH 3-PARKVALE VILLAGE DISCOVERY BAY,32,22/5/2019,11.38,980,1134,11612,10035,4534,156
601,FLAT F 1/F SUNRISE PH 1-PARKRIDGE VILLAGE DISCOVERY BAY,38,22/5/2019,4.52,440,530,10273,8528,2916,126
602,NO. 62 NO. 62 62 HEADLAND DRIVE PH 1-HEADLAND VIL.HEADLAND DR. DISCOVERY BAY,38,22/5/2019,45,2094,2099,21490,21439,4258,116
603,FLAT A 17/F GREENBURG COURT (BLOCK 2) PH 5-GREENVALE VILLAGE DISCOVERY BAY,30,21/5/2019,7.2,693,856,10390,8411,1270,27
604,FLAT D 11/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,21/5/2019,7.11,412,-,17250,-,-,-
605,FLAT G 3/F HAVEN COURT PH 4-PENINSULA VL CAPELAND DISCOVERY BAY,30,21/5/2019,5.7,609,723,9360,7884,8432,217
606,FLAT B 1/F BLOCK 36 PHASE 11 SIENA ONE DISCOVERY BAY,18,21/5/2019,15,1015,1292,14778,11610,1406,27
607,FLAT A 9/F THE HEMEX (BLOCK 3) PHASE 13 CHIANTI DISCOVERY BAY,14,21/5/2019,17,892,1160,19058,14655,3920,183
608,FLAT A 1/F BLOCK 8 PHASE 16 POGGIBONSI DISCOVERY BAY,0,20/5/2019,16.56,1200,-,13800,-,-,-
609,FLAT B 12/F BLOCK 8 PHASE 16 POGGIBONSI DISCOVERY BAY,0,20/5/2019,26.2,1379,-,19000,-,-,-
610,FLAT A 11/F SUNRISE PH 1-PARKRIDGE VILLAGE DISCOVERY BAY,38,20/5/2019,5.7,588,713,9694,7994,8471,178
611,FLAT C 2/F BLOCK 8 PHASE 16 POGGIBONSI DISCOVERY BAY,0,20/5/2019,14.08,881,-,15982,-,-,-
612,BLOCK 10 G/F BLOCK 10 PHASE 11 SIENA ONE DISCOVERY BAY,18,17/5/2019,19.5,1326,1658,14706,11761,2963,34
613,FLAT B 9/F COSTA COURT PH 8-LA COSTA DISCOVERY BAY,25,17/5/2019,6,439,527,13667,11385,4189,202
614,FLAT F NO. 15 15 SEABIRD LANE PH 1-BEACH VIL. SEABIRD LANE DISCOVERY BAY,38,17/5/2019,10,962,1037,10395,9643,4033,45
615,FLAT A 12/F BLOCK 8 PHASE 16 POGGIBONSI DISCOVERY BAY,0,17/5/2019,20.4,1200,-,17000,-,-,-
616,FLAT B 13/F JOVIAL COURT PH 4-PENINSULA VL CAPELAND DISCOVERY BAY,30,16/5/2019,7.45,771,903,9663,8250,-,
617,FLAT G 25/F THE BARION (BLOCK 2) PHASE 13 CHIANTI DISCOVERY BAY,14,16/5/2019,5.65,511,665,11057,8496,4928,95
618,FLAT C 6/F BLOCK 8 PHASE 16 POGGIBONSI DISCOVERY BAY,0,16/5/2019,13.75,881,-,15607,-,-,-
619,FLAT B 5/F WOODGREEN COURT PH 3-PARKVALE VILLAGE DISCOVERY BAY,32,16/5/2019,11.5,980,1134,11735,10141,-,
620,FLAT G 16/F THE BARION (BLOCK 2) PHASE 13 CHIANTI DISCOVERY BAY,14,15/5/2019,5.85,510,665,11471,8797,1340,17
621,FLAT G 17/F THE BARION (BLOCK 2) PHASE 13 CHIANTI DISCOVERY BAY,14,15/5/2019,5.9,510,665,11569,8872,4046,119
622,FLAT F 9/F GREENDALE COURT (BLOCK 6) PH 5-GREENVALE VILLAGE DISCOVERY BAY,29,15/5/2019,4.7,456,533,10307,8818,2063,47
623,FLAT B 1/F VERDANT COURT PH 4-PENINSULA VL CAPELAND DISCOVERY BAY,30,14/5/2019,6.85,771,903,8885,7586,-,
624,FLAT E 23/F PEACEFUL MANSION (BLOCK H5) PHASE 12 SIENA TWO DISCOVERY BAY,18,14/5/2019,5.86,438,590,13379,9932,1537,25
625,FLAT C 8/F GREENISH COURT (BLOCK 4) PH 5-GREENVALE VILLAGE DISCOVERY BAY,29,14/5/2019,6.8,744,865,9140,7861,8414,152
626,FLAT D 4/F BAY VIEW (BLOCK H4) PH 2-MIDVALE VILLAGE DISCOVERY BAY,35,14/5/2019,6,703,830,8535,7229,1525,6
627,FLAT E 5/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,9/5/2019,10.56,717,-,14722,-,-,-
628,FLAT D 9/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,9/5/2019,6.96,412,-,16900,-,-,-
629,FLAT A 1/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY (with flat roof),0,9/5/2019,15,1015,-,14778,-,-,-
630,FLAT E 3/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,9/5/2019,10.4,717,-,14500,-,-,-
631,FLAT F 9/F GREENISH COURT (BLOCK 4) PH 5-GREENVALE VILLAGE DISCOVERY BAY,29,9/5/2019,4.68,456,533,10263,8780,2267,57
632,FLAT C NO. 3 3 PARKLAND DRIVE PH 1-PARKRIDGE VILLAGE DISCOVERY BAY,33,8/5/2019,14,1270,1356,11024,10324,6290,250
633,FLAT F 13/F COSTA COURT PH 8-LA COSTA DISCOVERY BAY,25,8/5/2019,6.4,439,527,14579,12144,2959,117
634,FLAT A 10/F THE BARION (BLOCK 2) PHASE 13 CHIANTI DISCOVERY BAY,14,8/5/2019,10.93,915,1195,11945,9146,4801,97
635,FLAT D 12/F BAY VIEW (BLOCK H4) PH 2-MIDVALE VILLAGE DISCOVERY BAY,35,8/5/2019,6.38,703,830,9075,7687,8065,92
636,FLAT B 3/F BLOCK 8 PHASE 16 POGGIBONSI DISCOVERY BAY,0,8/5/2019,21.8,1379,-,15809,-,-,-
637,FLAT C 3/F JOVIAL COURT PH 4-PENINSULA VL CAPELAND DISCOVERY BAY,30,7/5/2019,6.8,771,903,8820,7530,1611,25
638,FLAT C 10/F GREENWOOD COURT (BLOCK 7) PH 5-GREENVALE VILLAGE DISCOVERY BAY,26,7/5/2019,8.6,947,1088,9081,7904,3945,87
639,FLAT D 10/F GREENWOOD COURT (BLOCK 7) PH 5-GREENVALE VILLAGE DISCOVERY BAY,26,7/5/2019,8.2,870,999,9425,8208,3945,73
640,FLAT E 6/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,7/5/2019,11.1,717,-,15481,-,-,-
641,FLAT A 15/F AMALFI TWO PHASE 14 AMALFI DISCOVERY BAY,9,7/5/2019,16.2,952,1230,17017,13171,2356,9
642,FLAT A 3/F BLOCK 26 PHASE 12 SIENA TWO DISCOVERY BAY,18,6/5/2019,13.8,1020,1315,13529,10494,4249,99
643,FLAT C 9/F COSTA COURT PH 8-LA COSTA DISCOVERY BAY,25,6/5/2019,7.1,628,760,11306,9342,8668,164
644,FLAT C 13/F GREENISH COURT (BLOCK 4) PH 5-GREENVALE VILLAGE DISCOVERY BAY,29,6/5/2019,7.25,744,865,9745,8382,-,
645,FLAT D 20/F SUNRISE PH 1-PARKRIDGE VILLAGE DISCOVERY BAY,38,3/5/2019,7.4,588,713,12582,10376,6966,270
646,FLAT E 20/F SUNRISE PH 1-PARKRIDGE VILLAGE DISCOVERY BAY,38,3/5/2019,4.73,440,530,10755,8928,3181,178
647,FLAT A 2/F BLOCK 8 PHASE 16 POGGIBONSI DISCOVERY BAY,0,3/5/2019,16.8,1200,-,14000,-,-,-
648,FLAT B 16/F BRILLIANCE COURT PH 3-HILLGROVE VILLAGE DISCOVERY BAY,32,3/5/2019,4.6,398,-,11558,-,4965,203
649,FLAT E 9/F SUNRISE PH 1-PARKRIDGE VILLAGE DISCOVERY BAY,38,2/5/2019,4.7,440,530,10682,8868,2711,104
650,FLAT C 7/F BLOCK 8 PHASE 16 POGGIBONSI DISCOVERY BAY,0,2/5/2019,14.44,881,-,16388,-,-,-
651,FLAT E 9/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,2/5/2019,11.55,717,-,16102,-,-,-
652,FLAT C 10/F CLEAR VIEW (BLOCK H5) PH 2-MIDVALE VILLAGE DISCOVERY BAY,35,30/4/2019,5.33,470,585,11340,9111,1487,44
653,FLAT B 3/F 44 CAPERIDGE DRIVE PH 4-PENINSULA VL CRESTMONT DISCOVERY BAY,25,30/4/2019,12.98,1108,1284,11715,10109,3055,55
