,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
882,FLAT B 10/F BLOCK 27 BAGUIO VILLA ,41,12/11/2019,15.68,1012,1153,15494,13599,5222,206
883,FLAT E 13/F COBLE COURT  ,33,12/11/2019,6.28,384,463,16354,13564,8354,265
884,FLAT 2 14/F KONG TAI COURT (BLOCK H) ABERDEEN CENTRE ,39,12/11/2019,7,451,554,15521,12635,1978,58
885,FLAT 7 28/F KA PING HOUSE (BLOCK B) KA LUNG COURT ,29,11/11/2019,7.1,645,827,11008,8585,-,
886,FLAT D 21/F BLOCK 2 SHAM WAN TOWERS ,16,11/11/2019,8.88,474,633,18734,14028,2621,66
887,FLAT A 11/F FU HO YUEN (BLOCK H-5) CHI FU FA YUEN ,42,11/11/2019,6.9,439,518,15718,13320,7336,250
888,FLAT D 16/F BLOCK 24 BAGUIO VILLA ,41,11/11/2019,28.2,1363,1520,20690,18553,3115,66
889,FLAT 2 15/F TSE ON HOUSE (BLOCK D) YUE ON COURT ,32,11/11/2019,6.28,469,575,13390,10922,-,
890,FLAT C 10/F BLOCK 1 POKFULAM GARDENS ,41,11/11/2019,7,466,535,15021,13084,3060,85
891,NO. 21 3/F 21 TUNG SING ROAD  ,67,11/11/2019,8.38,598,-,14013,-,-,
892,FLAT B 43/F BLOCK 3 SHAM WAN TOWERS ,16,8/11/2019,10,511,662,19569,15106,5451,165
893,FLAT E 43/F BLOCK 3 SHAM WAN TOWERS ,16,8/11/2019,8.8,515,664,17087,13253,2625,50
894,FLAT A 9/F NING FUNG MANSION  ,39,8/11/2019,4.88,284,346,17183,14104,3562,226
895,FLAT B 18/F POKFULAM TERRACE  ,17,8/11/2019,8,523,688,15296,11628,3058,60
896,FLAT F 3/F SUN MING BUILDING  ,54,8/11/2019,6.8,389,-,17481,-,3659,347
897,FLAT C 3/F SUN MING BUILDING  ,54,8/11/2019,7.78,445,-,17483,-,6355,0
898,FLAT 4 17/F WU ON HOUSE (BLOCK G) YUE ON COURT ,32,8/11/2019,6.83,493,604,13854,11308,-,
899,FLAT 2 3/F HAR ON HOUSE (BLOCK E) YUE ON COURT ,32,7/11/2019,6,469,575,12793,10435,-,
900,FLAT A 23/F FU ON YUEN (BLOCK H-3) CHI FU FA YUEN ,42,7/11/2019,6.9,439,518,15718,13320,5813,389
901,FLAT C 9/F BLOCK 2 BROADVIEW COURT ,19,7/11/2019,6.5,577,691,11265,9407,-,
902,FLAT F 7/F BLOCK 6 POKFULAM GARDENS ,41,7/11/2019,19.5,1173,1345,16624,14498,3531,88
903,FLAT B 4/F KAM TSEUK MANSION  ,40,6/11/2019,4.48,271,380,16531,11789,-,
904,FLAT B 2/F SEAVIEW COURT  ,28,6/11/2019,4.68,308,468,15195,10000,2773,95
905,FLAT D 13/F BLOCK 1 OCEAN COURT ,20,5/11/2019,5.18,481,585,10769,8855,-,
906,FLAT 6 4/F KONG TAI COURT (BLOCK H) ABERDEEN CENTRE ,39,4/11/2019,6,448,542,13393,11070,1222,46
907,FLAT A 16/F FU KING YUEN (BLOCK H-4) CHI FU FA YUEN ,42,4/11/2019,6.28,439,518,14305,12124,6196,378
908,FLAT A 5/F SUN MING BUILDING  ,54,1/11/2019,9.8,560,-,17491,-,1129,125
909,FLAT D 43/F BLOCK 3 SHAM WAN TOWERS ,16,30/10/2019,9.1,499,646,18236,14087,5616,198
910,FLAT 1 12/F NGAN ON HOUSE (BLOCK A) YUE ON COURT ,32,30/10/2019,6.33,493,604,12840,10480,-,
911,FLAT 6 28/F KA KIT HOUSE (BLOCK D) KA LUNG COURT ,29,30/10/2019,5.95,401,515,14838,11553,-,
912,FLAT 3 30/F CHOI ON HOUSE (BLOCK B) YUE ON COURT ,32,29/10/2019,6.68,469,575,14243,11617,-,
913,FLAT K 27/F BLOCK 3 BROADVIEW COURT ,19,25/10/2019,7.3,591,707,12352,10325,-,
914,FLAT A 10/F YEE HING BUILDING  ,35,24/10/2019,5.3,336,437,15774,12128,-,
915,FLAT 3 32/F CHOI ON HOUSE (BLOCK B) YUE ON COURT ,32,22/10/2019,6.68,469,575,14243,11617,-,
916,FLAT F 2/F SUN MING BUILDING  ,54,22/10/2019,6.99,389,-,17981,-,6364,0
917,FLAT A 8/F FULL JADE MANSION  ,28,22/10/2019,4.6,256,369,17969,12466,1169,50
918,FLAT 4 32/F HUNG CHAK HOUSE (BLOCK B) HUNG FUK COURT ,23,21/10/2019,6.4,645,801,9922,7990,-,
919,FLAT A 25/F BLOCK 2 SHAM WAN TOWERS ,16,21/10/2019,9.28,483,643,19213,14432,3780,144
920,FLAT C 10/F HOI LEE BUILDING  ,29,21/10/2019,5.23,295,409,17729,12787,1093,38
921,FLAT C 22/F TOWER 3 MARINA HABITAT ,22,21/10/2019,8.38,527,703,15901,11920,-,
