,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
7809,FLAT F 3/F TOWER 1 PARK BELVEDERE ,22,17/1/2017,4.94,475,624,10400,7917,-,
7810,FLAT F 6/F BLOCK 1 LA COSTA ,16,17/1/2017,5.5,492,678,11179,8112,2890,156
7811,FLAT F 22/F BLOCK 3 PHASE 1 DOUBLE COVE,7,17/1/2017,7.9,548,710,14416,11127,1562,20
7812,FLAT J 28/F BLOCK 1 FOK ON GARDEN ,28,17/1/2017,4.5,484,588,9298,7653,-,
7813,FLAT F 20/F BLOCK 3 CHEVALIER GARDEN ,33,17/1/2017,3.85,479,540,8038,7130,-,
7814,FLAT G 6/F TOWER 5 PHASE 2 VISTA PARADISO,21,17/1/2017,7.82,755,939,10358,8328,6928,83
7815,FLAT D 9/F TOWER 6 OCEAN VIEW ,17,16/1/2017,6.55,492,657,13313,9970,3623,184
7816,FLAT 5 11/F KAM FOON HOUSE (BLOCK A) KAM HAY COURT ,30,16/1/2017,4.8,554,712,8664,6742,-,
7817,FLAT A 36/F BLOCK 23 PHASE 3 DOUBLE COVE STARVIEW P DOUBLE COVE,5,16/1/2017,21.98,1379,-,15938,-,-,-
7818,FLAT A06 3/F TOWER 1 THE MET. BLISS ,3,16/1/2017,6.08,427,-,14248,-,-,-
7819,FLAT 3 40/F KAM PONG HOUSE (BLOCK B) KAM TAI COURT ,20,13/1/2017,5.3,650,829,8154,6393,-,
7820,FLAT A 14/F BLOCK 3 MOUNTAIN SHORE ,20,13/1/2017,5.93,482,630,12303,9413,2167,76
7821,FLAT 5 3/F LUNG YIU HOUSE (BLOCK C) KAM LUNG COURT ,27,13/1/2017,3.66,401,514,9115,7111,-,
7822,FLAT F 15/F BLOCK 5 PHASE 1 DOUBLE COVE,7,12/1/2017,8.78,582,753,15086,11660,1539,19
7823,FLAT B 11/F BLOCK 1 VILLA OCEANIA ,22,12/1/2017,12.2,1097,1412,11121,8640,4484,130
7824,FLAT C 6/F BLOCK 3 PHASE 5 THE TOLO PLACE SUNSHINE CITY,24,12/1/2017,7.54,644,824,11705,9148,1110,34
7825,FLAT A 17/F TOWER 2A OCEANAIRE ,9,12/1/2017,8.7,786,1029,11069,8455,2264,24
7826,FLAT 3 26/F BLOCK J PHASE 4 SUNSHINE CITY,26,12/1/2017,4.52,338,465,13373,9720,3915,190
7827,FLAT A 26/F BLOCK 25 PHASE 3 DOUBLE COVE STARVIEW P DOUBLE COVE,5,12/1/2017,22.98,1390,-,16533,-,-,-
7828,FLAT B 8/F TOWER 6 SAUSALITO ,13,11/1/2017,6,483,649,12422,9245,1284,48
7829,FLAT B 29/F TOWER 5 LAKE SILVER ,11,11/1/2017,8.5,690,905,12319,9392,2775,89
7830,FLAT 9 8/F KAM HO HOUSE (BLOCK H) KAM FUNG COURT ,24,10/1/2017,3.1,427,586,7260,5290,-,
7831,FLAT K 34/F BLOCK 4 SADDLE RIDGE GARDEN ,27,10/1/2017,2.7,431,502,6265,5378,-,
7832,FLAT 8 30/F LUNG YAN HOUSE (BLOCK B) KAM LUNG COURT ,27,10/1/2017,4.1,401,514,10224,7977,-,
7833,FLAT B05 29/F TOWER 1 THE MET. BLOSSOM ,3,10/1/2017,6.58,351,-,18758,-,-,-
7834,FLAT D 12/F TOWER 2 BAYSHORE TOWERS ,26,10/1/2017,5.33,404,545,13193,9780,1146,29
7835,FLAT E 16/F TOWER 3 OCEAN VIEW ,17,10/1/2017,5.7,474,635,12025,8976,4708,208
7836,FLAT 17 25/F KAM LAN HOUSE (BLOCK J) KAM FUNG COURT ,24,10/1/2017,3.6,428,586,8411,6143,-,
7837,FLAT D 12/F TOWER 3 BAYSHORE TOWERS ,26,9/1/2017,5.1,389,530,13111,9623,1615,46
7838,FLAT B 30/F BLOCK 5 MOUNTAIN SHORE ,20,9/1/2017,6.98,510,640,13686,10906,2404,114
7839,FLAT 7 18/F KAM WEI HOUSE (BLOCK E) KAM TAI COURT ,20,9/1/2017,5.12,650,828,7877,6184,-,
7840,FLAT D 5/F BLOCK 1 SADDLE RIDGE GARDEN ,27,9/1/2017,3.48,583,681,5969,5110,-,
7841,FLAT D 17/F BLOCK 23 PHASE 3 DOUBLE COVE STARVIEW P DOUBLE COVE,5,9/1/2017,6,496,-,12097,-,790,-2
7842,FLAT B07 5/F TOWER 2 THE MET. BLISS ,3,9/1/2017,4.96,324,-,15312,-,-,-
7843,FLAT 5 11/F BLOCK J PHASE 4 SUNSHINE CITY,26,9/1/2017,5,519,697,9634,7174,-,
7844,FLAT F 27/F BLOCK 5 BAYCREST ,20,6/1/2017,7.68,608,777,12632,9884,2251,73
7845,FLAT B 10/F TOWER 6 SAUSALITO ,13,6/1/2017,6,483,649,12422,9245,1759,74
7846,FLAT 1 22/F KAM FOON HOUSE (BLOCK A) KAM HAY COURT ,30,6/1/2017,3.8,401,515,9476,7379,-,
7847,FLAT G 20/F BLOCK 2 PHASE 1 DOUBLE COVE,7,6/1/2017,6,491,638,12220,9404,1543,13
7848,FLAT 6 30/F KAM WAI HOUSE (BLOCK C) KAM FUNG COURT ,24,5/1/2017,3.47,431,593,8039,5843,-,
