,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
1211,FLAT 1 17/F YUK WO COURT  ,0,15/5/2020,2.68,-,-,-,-,-,-
1212,HOUSE 25 NO. 38 HOUSE 25 THE CAVARIDGE ,1,15/5/2020,123.27,4310,-,28600,-,-,-
1213,FLAT B 2/F BLOCK 4 PRISTINE VILLA ,25,15/5/2020,12,1066,1271,11257,9441,5128,106
1214,FLAT C 5/F BLOCK 6 THE PALAZZO  (with flat roof),12,15/5/2020,9,700,897,12857,10033,2733,27
1215,FLAT 19 10/F YUK WO COURT  ,0,15/5/2020,2.77,-,-,-,-,-,-
1216,FLAT A 19/F RHINE HEIGHTS (BLOCK 4) SHATIN 33 ,36,14/5/2020,16,1296,1675,12346,9552,2153,33
1217,FLAT A 6/F COURT C TOWER 2 DRAGONS RANGE ,5,13/5/2020,12,963,-,12461,-,2000,-7
1218,FLAT E 18/F COURT A TOWER 1 DRAGONS RANGE ,5,13/5/2020,13,1011,-,12859,-,1980,9
1219,FLAT 1 22/F YUK WO COURT  ,0,13/5/2020,2.69,-,-,-,-,-,-
1220,FLAT H 11/F COURT A TOWER 2 DRAGONS RANGE ,5,12/5/2020,6.58,450,-,14622,-,1977,9
1221,FLAT 14 24/F YUK WO COURT  ,0,12/5/2020,3.14,-,-,-,-,-,-
1222,FLAT B 3/F BLOCK 12 WOODCREST HILL ,36,11/5/2020,11.45,936,1069,12233,10711,8562,153
1223,HOUSE 58 NO. 38 HOUSE 58 THE CAVARIDGE ,1,11/5/2020,149.41,5336,-,28000,-,-,-
1224,HOUSE 8 NO. 23 HOUSE 8 MOUNT REGALIA  (with flat roof),2,11/5/2020,58.8,2216,-,26534,-,-,-
1225,FLAT 8 17/F MEI YING COURT  ,0,8/5/2020,4.86,445,-,10921,-,-,
1226,FLAT C 31/F BLOCK 1 PHASE 1 ROYAL ASCOT,25,8/5/2020,12.99,958,1128,13557,11514,4645,133
1227,FLAT 1 37/F YUK WO COURT  ,0,8/5/2020,2.77,-,-,-,-,-,-
1228,FLAT 10 35/F YUK WO COURT  ,0,8/5/2020,2.75,-,-,-,-,-,-
1229,FLAT B 7/F TOWER C THE GRANDVILLE ,14,7/5/2020,13.85,922,1180,15022,11737,3379,69
1230,FLAT 9 39/F YUK WO COURT  ,0,7/5/2020,2.75,-,-,-,-,-,-
1231,HOUSE 10 NO. 23 HOUSE 10 MOUNT REGALIA  (with flat roof),2,6/5/2020,58,2216,-,26173,-,-,-
1232,FLAT 2 31/F YUK WO COURT  ,0,6/5/2020,2.77,-,-,-,-,-,-
1233,FLAT C 4/F BLOCK 1 ROYAL FOREST ,16,5/5/2020,14.5,1006,1559,14414,9301,4362,56
1234,FLAT B 10/F TOWER B THE GRANDVILLE ,14,4/5/2020,9.2,568,718,16197,12813,3455,86
1235,FLAT C 36/F BLOCK 11 THE PALAZZO ,12,4/5/2020,9.08,534,686,17004,13236,4348,82
1236,FLAT B8 3/F WING 2 THE MET. ACAPPELLA ,2,4/5/2020,8.63,389,-,22180,-,-,-
1237,FLAT D 22/F TOWER B THE GRANDVILLE ,14,29/4/2020,8.65,602,756,14369,11442,5605,87
