,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
74,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Kent Court,Block 1,1985-06-28,L,3,2,1,A,1411,1229,21500000,2020-08-07,2012-03-28,12720000,69.03,22.327507,114.18024
75,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Phoenix Court,Block D,1977-11-23,M,3,,6,4,0,670,11500000,2020-08-04,1999-10-14,3130000,267.41,22.34206,114.1817
76,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Merlin Court,Merlin Court,1975-03-27,L,3,2,3,C,850,685,10000000,2020-08-04,2008-01-21,19000000,-47.37,22.3426965,114.1829536
77,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Beverly Villas,Block 7,1980-12-24,L,3,2,3,C,1308,1211,21080000,2020-08-03,2017-07-13,17100000,23.27,22.327393999999998,114.18248
78,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,The Palace,The Palace,2002-09-27,M,2,,19,B,900,673,15000000,2020-07-24,2003-10-09,4150000,261.45,22.34216,114.18356
79,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Beverly Villas,Block 2,1980-12-23,L,3,2,1,D,1308,1212,19800000,2020-07-21,2010-04-29,10380000,90.75,22.327738,114.182495
80,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Twilight Court,Twilight Court,1975-06-25,L,2,2,3,A4,555,443,8000000,2020-07-21,2010-07-28,4090000,95.60000000000001,22.341475,114.18212
81,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,One Lasalle,One Lasalle,2009-03-31,M,,,6,B,3025,2203,62800000,2020-07-21,2009-08-12,55800000,12.540000000000001,22.328096,114.18166
82,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,L,,,3,B,0,403,11596000,2020-07-17,,0,0.0,22.330969,114.18579
83,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,L,,,3,C,0,265,7913000,2020-07-17,,0,0.0,22.330969,114.18579
84,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Fung Wah Court,Fung Wah Court,1972-03-03,M,,,6,D,0,1061,17500000,2020-07-17,2014-06-25,14200000,23.240000000000002,22.327858,114.18484
85,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Nos.9 9A & 9B La Salle Road,9-9B La Salle Road,1962-03-28,,,,2,C,0,1454,26980000,2020-07-17,2008-10-03,16000000,68.63,22.32891,114.18167
86,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Violet Court,Violet Court,1964-03-17,M,,,4,3,0,1044,14000000,2020-07-17,2011-09-19,11500000,21.740000000000002,22.340669,114.177588
87,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Nos.9 9A & 9B La Salle Road,9-9B La Salle Road,1962-03-28,,,,1,C,0,1454,23000000,2020-07-17,2008-10-03,16000000,43.75,22.32891,114.18167
88,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Alice Court,Block B,1971-10-12,M,3,2,6,E,850,654,10500000,2020-07-16,2020-03-19,11180000,-6.08,22.342668999999997,114.18130000000001
89,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,One Mayfair,Block 6,2011-12-28,M,,,7,C,1352,1052,30980000,2020-07-15,2011-11-22,24170000,28.18,22.3398724,114.1822802
90,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Tang Court,Block D2,1987-01-13,,3,,3,B,1202,1004,20680000,2020-07-15,1997-06-14,10500000,96.95,22.329855,114.183205
91,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Jade Court,Block C,1977-05-04,,3,,G,C1,0,735,13000000,2020-07-10,2006-11-16,4800000,170.83,22.342747,114.18206
92,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Peninsula Heights,Block A,2000-03-22,M,,,9,6,1431,1115,22080000,2020-07-08,2014-03-18,12880000,71.43,22.343526999999998,114.18278
