,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
87,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Glory Mansion,Glory Mansion,1961-06-01,M,,,5,108,0,1880,36000000,2020-07-31,1998-12-10,6600000.0,445.45,22.2745355,114.1617584
88,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Vincent Mansion,High Block,1989-01-31,M,0,,13,C,0,251,4950000,2020-07-31,2013-04-18,4500000.0,10.0,22.276076999999997,114.16787
89,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Dynasty Court,Block 5,1991-09-25,L,3,,8,A,1970,1522,57000000,2020-07-30,2001-06-01,13480000.0,322.85,22.275123,114.15284199999999
90,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Starcrest,Block 1,1999-11-08,L,3,,13,F,1131,890,30700000,2020-07-29,2000-03-09,8880000.0,245.72,22.276526,114.167354
91,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Glory Mansion,Glory Mansion,1961-06-01,M,,,4,108,0,1880,38000000,2020-07-28,,0.0,0.0,22.2745355,114.1617584
92,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Wing Fook Court,Wing Fook Court,1981-03-12,H,,,17,B,904,787,19000000,2020-07-24,2008-05-26,7800000.0,143.59,22.273927999999998,114.17105
93,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Man Tung Building,Man Tung Building,1979-06-05,L,,,1,A,0,529,7080000,2020-07-21,2012-11-05,5400000.0,31.11,22.2737829,114.1732816
94,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Grosvenor House,Grosvenor House,1958-04-14,M,,,5,703,0,1347,27500000,2020-07-21,,0.0,0.0,22.275201,114.1618056
95,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Starcrest,Block 1,1999-11-08,L,2,,6,E,929,719,18500000,2020-07-20,2006-05-25,8100000.0,128.4,22.276526,114.167354
96,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Dynasty Court,Block 1,1991-09-25,M,4,,26,A,2680,2141,95000000,2020-07-17,2003-01-17,21800000.0,335.78000000000003,22.276208,114.152624
97,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Tregunter,Tower 3,1993-11-11,M,,,35,D,3001,2407,86000000,2020-07-16,2019-11-20,86000000.0,0.0,22.274673,114.152627
98,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Tregunter,Tower 3,1993-11-11,M,3,,42,A,0,1602,44000000,2020-07-16,2007-10-23,22800000.0,92.98,22.274673,114.152627
99,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Estella Court,70D Macdonnell Road,1956-08-03,L,,,2,,0,1707,32000000,2020-07-13,,0.0,0.0,22.278793,114.172902
100,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Beau Cloud Mansion,Beau Cloud Mansion,1965-09-04,M,,,8,C,0,1437,28200000,2020-07-07,2005-08-23,8980000.0,214.03,22.2750955,114.159629
101,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Hillsborough Court,Block 1,1993-08-12,M,3,,21,D,1385,1104,16500000,2020-07-03,2019-05-22,16500000.0,0.0,22.275081,114.152337
102,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Dynasty Court,Block 4,1991-09-25,L,3,,11,B,1970,1522,54800000,2020-07-03,1997-03-04,32800000.0,67.07000000000001,22.275343,114.1529
103,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Man Tung Building,Man Tung Building,1979-06-05,M,,,4,D,0,487,7350000,2020-06-30,2013-07-26,5450000.0,34.86,22.2737829,114.1732816
104,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Century Tower,Block 2,1992-04-24,H,,,22,,0,2786,133800000,2020-06-30,2011-06-03,128000000.0,4.53,22.273218,114.15545
105,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Starcrest,Block 1,1999-11-08,H,3,,29,B,1902,1525,44380000,2020-06-29,2017-11-29,55580000.0,-20.150000000000002,22.276526,114.167354
106,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,No.1 Star Street,No.1 Star Street,2001-02-09,H,2,,37,D,711,511,13900000,2020-06-29,2000-12-19,3129000.0,344.23,22.275868,114.168523
107,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Monticello,Block E,1969-08-11,L,3,,3,,1275,1107,22800000,2020-06-24,,0.0,0.0,22.274528,114.168171
108,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Starcrest,Block 1,1999-11-08,L,3,,10,A,1158,912,29000000,2020-06-24,1999-05-04,7880000.0,268.02,22.276526,114.167354
109,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Monmouth Place,Monmouth Place,1994-11-21,L,,,1,B,1072,689,13500000,2020-06-24,2009-05-25,5360000.0,151.87,22.275344999999998,114.16769
110,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Bowen Place,Bowen Place,1989-02-15,H,,,17,B,1999,1485,55000000,2020-06-21,2015-10-25,53500000.0,2.8000000000000003,22.273822,114.164488
111,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,St. Louis Mansion,St. Louis Mansion,1993-05-21,L,0,,4,F,0,318,7200000,2020-06-19,2010-07-13,4000000.0,80.0,22.275555999999998,114.156828
112,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Monticello,Block F,1969-08-11,H,3,,15,,1261,1075,24800000,2020-06-19,,0.0,0.0,22.274523,114.168104
113,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Phoenix Court,Block 1,1977-09-12,M,,,7,D,0,890,14900000,2020-06-19,1998-11-09,3280000.0,354.27,22.274134,114.17223
114,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Phoenix Court,Block 1,1977-09-12,L,,,2,A,0,1119,18700000,2020-06-18,,0.0,0.0,22.274134,114.17223
115,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Phoenix Court,Block 1,1977-09-12,H,,,14,B,0,1119,18500000,2020-06-12,2004-12-31,5000000.0,270.0,22.274134,114.17223
116,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Amber Garden,Amber Garden ( Block A ),1981-07-27,M,,,17,A,1732,1404,38500000,2020-06-11,2009-07-31,20000000.0,92.5,22.27317,114.172585
