,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
62,Hong Kong Island,Eastern,Chai Wan,Shan Tsui Court,Block C,1981-05-11,L,2,2,4,4,474,379,4750000,2020-11-17,1996-09-18,1278000,271.67,22.2691555,114.2333346
63,Hong Kong Island,Eastern,Chai Wan,Kin Yip Court,Kin Yip Court,1971-12-02,H,,,23,I,0,257,4100000,2020-11-16,2017-06-28,3080000,33.12,22.26121,114.23607
64,Hong Kong Island,Eastern,Chai Wan,Harmony Garden,Block 4,1997-03-24,M,2,2,13,J,567,484,5380000,2020-11-13,1997-03-21,1208200,345.29,22.2657465,114.2497694
65,Hong Kong Island,Eastern,Chai Wan,Greenwood Terrace (Cw),Block 3,1985-07-05,M,3,2,13,F,875,757,8500000,2020-11-13,2010-11-26,3830000,121.93,22.267111,114.234728
66,Hong Kong Island,Eastern,Chai Wan,Neptune Terrace,Block 1,1985-12-31,L,3,2,9,A,988,862,8550000,2020-11-12,1997-03-18,3770000,126.79,22.268182,114.234556
67,Hong Kong Island,Eastern,Chai Wan,Fullview Garden,Block 6,1993-01-12,L,3,2,3,A,707,592,7990000,2020-11-11,2007-08-23,2060000,287.86,22.261727999999998,114.25238
68,Hong Kong Island,Eastern,Chai Wan,Wah Tai Mansion,Wah Tai Mansion,1976-06-16,M,2,1,9,F,450,367,4000000,2020-11-10,,0,0.0,22.263171999999997,114.235916
69,Hong Kong Island,Eastern,Chai Wan,Greenwood Terrace (Cw),Block 2,1985-07-05,M,2,2,16,A,620,536,6350000,2020-11-10,2012-04-16,3180000,99.69,22.2666049,114.2346955
70,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 1,2001-04-11,,,,56,F,644,455,8200000,2020-11-09,2010-07-20,3790000,116.36,22.266852,114.250333
71,Hong Kong Island,Eastern,Chai Wan,Neptune Terrace,Block 1,1985-12-31,L,3,2,3,F,679,593,5650000,2020-11-09,2003-02-18,700000,707.14,22.268182,114.234556
72,Hong Kong Island,Eastern,Chai Wan,Gold Mine Building,Block B,1978-03-10,M,1,2,12,2,351,260,3938000,2020-11-09,2010-05-12,1230000,220.16,22.264433,114.240438
73,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 3,2001-04-11,,,,60,D,872,598,10680000,2020-11-06,2017-02-17,9168000,16.490000000000002,22.265534,114.251226
74,Hong Kong Island,Eastern,Chai Wan,Greenwood Terrace (Cw),Block 5,1985-07-05,L,2,2,9,A,620,536,6000000,2020-11-06,2017-08-04,5700000,5.26,22.267636,114.235116
75,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 2,2001-04-11,L,,,18,H,658,436,7600000,2020-11-05,2010-08-04,3400000,123.53,22.266616,114.250062
76,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 1,2001-04-11,,,,56,D,1060,739,13380000,2020-11-05,2012-03-28,8600000,55.58,22.266852,114.250333
77,Hong Kong Island,Eastern,Chai Wan,Yee Tsui Court,Block C,1981-12-18,M,2,2,9,6,588,483,6680000,2020-11-05,2013-09-09,1600000,317.5,22.265065999999997,114.23906
78,Hong Kong Island,Eastern,Chai Wan,Gold Mine Building,Block A,1978-03-10,H,1,2,20,7,357,240,4180000,2020-11-05,2015-06-09,3020000,38.410000000000004,22.2642975,114.2402549
79,Hong Kong Island,Eastern,Chai Wan,Winner Centre,Block C,1982-02-04,L,1,2,8,6,371,254,4380000,2020-11-04,2010-02-09,1380000,217.39000000000001,22.263626,114.238641
80,Hong Kong Island,Eastern,Chai Wan,Neptune Terrace,Block 1,1985-12-31,M,3,2,17,E,675,589,6200000,2020-11-03,,0,0.0,22.268182,114.234556
81,Hong Kong Island,Eastern,Chai Wan,Neptune Terrace,Block 1,1985-12-31,H,3,2,30,F,679,593,6260000,2020-11-03,2010-08-09,2620000,138.93,22.268182,114.234556
82,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 7,2001-04-11,L,,,20,F,652,457,7800000,2020-11-02,2008-01-28,2520000,209.52,22.266346,114.251465
83,Hong Kong Island,Eastern,Chai Wan,Winner Centre,Block C,1982-02-04,L,1,2,13,4,368,260,4350000,2020-11-02,2007-07-13,600000,625.0,22.263626,114.238641
84,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 1,2001-04-11,L,,,12,A,876,615,9500000,2020-10-30,2007-11-16,3700000,156.76,22.266852,114.250333
85,Hong Kong Island,Eastern,Chai Wan,New Jade Gardens,Block 4,1988-04-06,H,3,2,27,E,615,508,7850000,2020-10-30,2012-05-04,3850000,103.9,22.263571,114.236839
86,Hong Kong Island,Eastern,Chai Wan,Yee Tsui Court,Block A,1981-12-18,H,2,2,21,8,522,429,6380000,2020-10-29,2012-10-18,3288000,94.04,22.264689999999998,114.23853
87,Hong Kong Island,Eastern,Chai Wan,New Jade Gardens,Block 3,1988-04-06,M,3,2,12,B,628,520,8180000,2020-10-29,1997-03-12,3330000,145.65,22.263716,114.237065
88,Hong Kong Island,Eastern,Chai Wan,Walton Estate,Block A(II)(Tak Luk House),1982-08-21,M,2,2,16,G,559,465,5590000,2020-10-29,2015-09-18,4200000,33.1,22.264532,114.23956
89,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 5,2001-04-11,M,,,30,G,653,457,8000000,2020-10-28,2011-01-28,4100000,95.12,22.265849,114.251637
90,Hong Kong Island,Eastern,Chai Wan,New Jade Gardens,Block 2,1988-04-06,M,2,2,12,E,569,474,7280000,2020-10-23,2010-07-15,2680000,171.64000000000001,22.263963999999998,114.237159
91,Hong Kong Island,Eastern,Chai Wan,Greenwood Terrace (Cw),Block 3,1985-07-05,L,2,2,6,A,620,536,6480000,2020-10-22,2010-06-01,1890000,242.86,22.267111,114.234728
92,Hong Kong Island,Eastern,Chai Wan,Fullview Garden,Block 9,1993-01-12,H,3,2,24,D,701,587,5468000,2020-10-22,,0,0.0,22.2622881,114.2514401
93,Hong Kong Island,Eastern,Chai Wan,Bayview Park,Bayview Park,1999-06-30,M,3,,18,C,849,624,8700000,2020-10-22,2012-03-27,5262000,65.34,22.265701,114.234165
94,Hong Kong Island,Eastern,Chai Wan,New Jade Gardens,Block 4,1988-04-06,M,3,2,11,G,659,548,8700000,2020-10-22,2017-11-07,7180000,21.17,22.263571,114.236839
95,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 1,2001-04-11,,,,50,D,1068,760,13200000,2020-10-22,2013-03-04,9600000,37.5,22.266852,114.250333
96,Hong Kong Island,Eastern,Chai Wan,Cheerful Garden,Block 3,1995-05-26,M,3,2,18,C,716,592,8000000,2020-10-21,2009-08-25,2468000,224.15,22.262891,114.249882
97,Hong Kong Island,Eastern,Chai Wan,Harmony Garden,Block 8,1997-03-24,L,3,2,4,H,693,592,5620000,2020-10-20,1997-03-14,1315200,327.31,22.26532,114.24837
